x,y,z,rx,ry,rz
3626.6913234704,2206.49928105558,82.12640180350002,-180,45.18581612297959,135.0
3626.6913234704,2206.49928105558,75.8345793808889,-180,45.18581612297959,135.0
3626.6913234704,2206.49928105558,69.54275695827778,-180,45.18581612297959,135.0
3626.6913234704,2206.49928105558,63.25093453566669,-180,45.18581612297959,135.0
3626.6913234704,2206.49928105558,56.95911211305557,-180,45.18581612297959,135.0
3626.6913234704,2206.49928105558,50.66728969044445,-180,45.18581612297959,135.0
3626.6913234704,2206.49928105558,44.37546726783336,-180,45.18581612297959,135.0
3626.6913234704,2206.49928105558,38.08364484522224,-180,45.18581612297959,135.0
3626.6913234704,2206.49928105558,31.79182242261112,-180,45.18581612297959,135.0
3626.6913234704,2206.49928105558,25.5,-180,45.18581612297959,135.0
3626.6913234704,2220.49928105558,11.5,-180,80.0,90
3626.6913234704,2231.7215032778026,11.5,-180,80.0,90
3626.6913234704,2242.943725500025,11.5,-180,80.0,90
3626.6913234704,2254.165947722247,11.5,-180,80.0,90
3626.6913234704,2265.388169944469,11.5,-180,80.0,90
3626.6913234704,2276.6103921666913,11.5,-180,80.0,90
3626.6913234704,2287.8326143889135,11.5,-180,80.0,90
3626.6913234704,2299.0548366111357,11.5,-180,80.0,90
3626.6913234704,2310.277058833358,11.5,-180,80.0,90
3626.6913234704,2321.49928105558,11.5,-180,80.0,90
3626.6913234704,2415.49928105558,11.5,-180,90.0,90
3626.6913234704,2421.277058833358,11.5,-180,90.0,90
3626.6913234704,2427.0548366111357,11.5,-180,90.0,90
3626.6913234704,2432.8326143889135,11.5,-180,90.0,90
3626.6913234704,2438.6103921666913,11.5,-180,90.0,90
3626.6913234704,2444.388169944469,11.5,-180,90.0,90
3626.6913234704,2450.165947722247,11.499999999999943,-180,90.0,90
3626.6913234704,2455.943725500025,11.499999999999943,-180,90.0,90
3626.6913234704,2461.721503277802,11.499999999999943,-180,90.0,90
3626.6913234704,2467.49928105558,11.499999999999943,-180,90.0,90
3626.6913234704,2481.49928105558,25.499999999999943,-180,79.0708750936434,45.0
3626.6913234704,2481.4992810555805,39.833333333333314,-180,79.0708750936434,45.0
3626.6913234704,2481.4992810555805,54.16666666666666,-180,79.0708750936434,45.0
3626.6913234704,2481.4992810555805,68.49999999999997,-180,79.0708750936434,45.0
3626.6913234704,2481.4992810555805,82.83333333333331,-180,79.0708750936434,45.0
3626.6913234704,2481.4992810555805,97.16666666666666,-180,79.0708750936434,45.0
3626.6913234704,2481.4992810555805,111.5,-180,79.0708750936434,45.0
3626.6913234704,2481.4992810555805,125.83333333333334,-180,79.0708750936434,45.0
3626.6913234704,2481.4992810555805,140.16666666666666,-180,79.0708750936434,45.0
3626.6913234704,2481.4992810555805,154.5,-180,79.0708750936434,75.0
3801.7013234704,2364.0247889876,10.000000000000098,-180,90,0
3807.2568790259556,2364.0247889876,10.000000000000098,-180,90,0
3812.8124345815113,2364.0247889876,10.000000000000098,-180,90,0
3818.3679901370665,2364.0247889876,10.000000000000098,-180,90,0
3823.923545692622,2364.0247889876,10.0000000000001,-180,90,0
3829.479101248178,2364.0247889876,10.0000000000001,-180,90,0
3835.0346568037335,2364.0247889876,10.0000000000001,-180,90,0
3840.590212359289,2364.0247889876,10.0000000000001,-180,90,0
3846.1457679148443,2364.0247889876,10.0000000000001,-180,90,0
3851.7013234704,2364.0247889876,10.0000000000001,-180,90,0
